id,prefecture_id,prefecture_en,prefecture_ja
010006,01,Hokkaido,北海道
020001,02,Aomori Prefecture,青森県
030007,03,Iwate Prefecture,岩手県
040002,04,Miyagi Prefecture,宮城県
050008,05,Akita Prefecture,秋田県
060003,06,Yamagata Prefecture,山形県
070009,07,Fukushima Prefecture,福島県
080004,08,Ibaraki Prefecture,茨城県
090000,09,Tochigi Prefecture,栃木県
100005,10,Gunma Prefecture,群馬県
110001,11,Saitama Prefecture,埼玉県
120006,12,Chiba Prefecture,千葉県
130001,13,Tokyo,東京都
140007,14,Kanagawa Prefecture,神奈川県
150002,15,Niigata Prefecture,新潟県
160008,16,Toyama Prefecture,富山県
170003,17,Ishikawa Prefecture,石川県
180009,18,Fukui Prefecture,福井県
190004,19,Yamanashi Prefecture,山梨県
200000,20,Nagano Prefecture,長野県
210005,21,Gifu Prefecture,岐阜県
220001,22,Shizuoka Prefecture,静岡県
230006,23,Aichi Prefecture,愛知県
240001,24,Mie Prefecture,三重県
250007,25,Shiga Prefecture,滋賀県
260002,26,Kyoto Prefecture,京都府
270008,27,Osaka Prefecture,大阪府
280003,28,Hyōgo Prefecture,兵庫県
290009,29,Nara Prefecture,奈良県
300004,30,Wakayama Prefecture,和歌山県
310000,31,Tottori Prefecture,鳥取県
320005,32,Shimane Prefecture,島根県
330001,33,Okayama Prefecture,岡山県
340006,34,Hiroshima Prefecture,広島県
350001,35,Yamaguchi Prefecture,山口県
360007,36,Tokushima Prefecture,徳島県
370002,37,Kagawa Prefecture,香川県
380008,38,Ehime Prefecture,愛媛県
390003,39,Kōchi Prefecture,高知県
400009,40,Fukuoka Prefecture,福岡県
410004,41,Saga Prefecture,佐賀県
420000,42,Nagasaki Prefecture,長崎県
430005,43,Kumamoto Prefecture,熊本県
440001,44,Ōita Prefecture,大分県
450006,45,Miyazaki Prefecture,宮崎県
460001,46,Kagoshima Prefecture,鹿児島県
470007,47,Okinawa Prefecture,沖縄県
